id|LastName|FirstName|Gender|FavoriteColor|DateOfBirth
1|Jackson|Bobby|Male|Puce|1980-05-29T19:01:39Z
2|Rodriguez|Susan|Female|Maroon|1980-08-13T04:10:38Z
3|Russell|Anna|Female|Aquamarine|1981-07-23T16:13:07Z
4|Nelson|Linda|Female|Green|1984-03-12T07:15:48Z
5|Baker|Joan|Female|Crimson|1992-03-01T21:30:24Z
6|Hamilton|Nicholas|Male|Puce|1973-08-23T15:33:12Z
7|Grant|Phyllis|Female|Pink|1971-07-03T09:52:11Z
8|Bryant|Billy|Male|Indigo|1982-05-28T16:19:32Z
9|Elliott|Philip|Male|Teal|1978-10-28T15:06:03Z
10|Sanchez|Jennifer|Female|Green|1993-11-08T11:28:21Z
11|Reed|Julia|Female|Khaki|1993-12-11T20:32:25Z
12|Russell|Gerald|Male|Aquamarine|1994-03-17T18:40:37Z
13|Boyd|Jennifer|Female|Fuscia|1979-07-19T19:36:21Z
14|Moore|Jane|Female|Fuscia|1977-11-22T16:12:45Z
15|Warren|Shirley|Female|Turquoise|1992-08-24T06:44:51Z
16|Sanchez|Wanda|Female|Puce|1975-09-17T03:24:31Z
17|Mason|Christina|Female|Puce|1970-12-25T19:08:53Z
18|Bennett|Philip|Male|Pink|1992-03-18T01:44:11Z
19|Cruz|Annie|Female|Puce|1970-11-02T21:30:31Z
20|Perry|Samuel|Male|Fuscia|1990-10-04T09:15:39Z
21|Porter|Philip|Male|Violet|1979-06-09T08:40:53Z
22|Chavez|Bonnie|Female|Blue|1990-11-17T07:08:35Z
23|Ferguson|Keith|Male|Turquoise|1990-02-18T08:17:28Z
24|Diaz|George|Male|Crimson|1978-12-11T06:21:14Z
25|Banks|Gary|Male|Aquamarine|1976-09-27T16:17:19Z
26|Baker|Kathleen|Female|Mauv|1978-02-22T16:35:28Z
27|Perry|Rachel|Female|Fuscia|1992-06-05T10:16:11Z
28|Wood|Mildred|Female|Mauv|1974-12-01T06:25:38Z
29|Hughes|Christina|Female|Khaki|1992-04-08T12:21:58Z
30|Scott|George|Male|Green|1995-01-07T20:46:05Z
31|Warren|Sara|Female|Blue|1987-09-23T15:48:40Z
32|Fisher|Justin|Male|Fuscia|1979-09-11T17:46:08Z
33|Anderson|George|Male|Purple|1971-11-23T08:04:05Z
34|Green|Jennifer|Female|Indigo|1995-01-11T19:22:09Z
35|Nichols|Robin|Female|Turquoise|1979-06-07T10:28:53Z
36|Harris|Chris|Male|Maroon|1983-01-14T16:18:14Z
37|Davis|Juan|Male|Puce|1974-05-10T05:12:53Z
38|Crawford|Melissa|Female|Crimson|1992-10-17T16:34:34Z
39|Campbell|Cheryl|Female|Red|1982-10-15T03:29:15Z
40|Cole|Cheryl|Female|Mauv|1996-05-26T22:26:45Z
41|Thomas|Antonio|Male|Aquamarine|1993-08-31T01:08:36Z
42|Fernandez|Joyce|Female|Orange|1987-02-21T11:34:05Z
43|Henry|Jean|Female|Khaki|1975-09-28T13:02:10Z
44|Simmons|James|Male|Orange|1986-11-30T13:25:15Z
45|Jenkins|Laura|Female|Orange|1986-04-01T09:20:58Z
46|Knight|Russell|Male|Khaki|1991-12-29T04:06:36Z
47|Rose|Frances|Female|Red|1991-07-14T18:31:27Z
48|Carr|Jeremy|Male|Blue|1982-07-08T19:03:02Z
49|Austin|James|Male|Indigo|1973-06-28T02:19:42Z
50|Gordon|Dorothy|Female|Green|1984-09-17T09:54:29Z
51|Ryan|Jean|Female|Pink|1975-01-27T21:34:26Z
52|Schmidt|Douglas|Male|Pink|1991-05-06T01:34:56Z
53|Cook|Martin|Male|Red|1975-07-25T12:35:04Z
54|Peters|Donald|Male|Green|1975-06-10T06:04:06Z
55|Adams|Linda|Female|Goldenrod|1993-08-13T17:27:22Z
56|Knight|Wayne|Male|Maroon|1995-08-25T05:02:21Z
57|Lawson|Carolyn|Female|Khaki|1973-02-25T04:03:44Z
58|Fields|Kevin|Male|Green|1995-09-02T09:07:29Z
59|Olson|Bobby|Male|Red|1984-01-14T01:15:13Z
60|Hudson|Patricia|Female|Mauv|1977-11-11T16:39:15Z
61|Harrison|Gerald|Male|Aquamarine|1991-01-01T07:36:34Z
62|Little|Heather|Female|Fuscia|1980-10-23T09:48:28Z
63|Rogers|Tammy|Female|Blue|1986-01-23T15:32:02Z
64|Ryan|Richard|Male|Teal|1978-09-21T09:06:18Z
65|Lewis|Carol|Female|Indigo|1994-12-07T02:40:38Z
